FacName,FacStreet,FacCity,FacState,RegistryID,FacSNCFlg,FacQtrsWithNC,FacInspectionCount,FacFormalActionCount,FacMapFlg,"DFR URL"
"MARIAS GARDEN","7320 S YALE",CHICAGO,IL,110006546620,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110006546620
"MARINA CITY MARINA","300 N STATE ST B",CHICAGO,IL,110005918383,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110005918383
"MARINE OIL TERMINAL","4950 W 41ST STREET",CHICAGO,IL,110029522693,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110029522693
"MARK T SKINNER SCHOOL","1260 W ADAMS ST",CHICAGO,IL,110037521973,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110037521973
"MARK TWAIN ELEMENTARY","5134 S LOTUS",CHICAGO,IL,110031016692,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110031016692
"MARKHAM TRANSFER & RECYCLE","1258 E 138TH ST",CHICAGO,IL,110064367091,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110064367091
"MARKS OIL CO","3588 S ARCHER AVE",CHICAGO,IL,110005831207,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110005831207
"MARLBOROUGH CONODOMINIUMS","400 W DEMING PL",CHICAGO,IL,110042176365,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110042176365
"MARO PAPER PRODUCTS","2038 W HUBBARD ST",CHICAGO,IL,110005934347,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110005934347
"MARQUETTE GAS","4300 W MARQUETTE",CHICAGO,IL,110070162004,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110070162004
"MARQUETTE MOBIL","7200 S WESTERN AVE",CHICAGO,IL,110070684492,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110070684492
"MARQUETTE PARK GC","6700 SOUTH KEDZIE AVENUE",CHICAGO,IL,110054140176,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110054140176
"MARRIOTT MOTOR HOTEL","8535 W HIGGINS RD",CHICAGO,IL,110041041725,N,0,0,1,Y,https://echo.epa.gov/detailed-facility-report?fid=110041041725
"MARS CHOCOLATE NORTH AMERICA LLC","2019 N OAK PARK AVE",CHICAGO,IL,110028019837,N,1,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110028019837
"MARSHALL FIELD CO","4049 W DIVERSEY AVE",CHICAGO,IL,110005826071,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110005826071
"MARSHALL FIELDS","4000 W DIVERSEY",CHICAGO,IL,110005865901,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110005865901
"MARSHALL HIGH SCHOOL-CHGO BD ED","3250 W ADAMS ST",CHICAGO,IL,110009378459,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110009378459
"MARTHON FUEL & MINI MART","6500 S KEDZIE AVE",CHICAGO,IL,110018350755,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110018350755
"MARTI JOSE BILINGUAL EDUC CNTR","5126 N KENMORE AVE",CHICAGO,IL,110003046962,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110003046962
"MARTIN OIL OF INDIANA 709","3510 S ASHLAND",CHICAGO,IL,110070684012,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110070684012
"MARTINEZ, FRANK","3361 S MORGAN",CHICAGO,IL,110005795096,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110005795096
"MARTINO MOTOR SALES INC","8557 S COMMERCIAL AVE",CHICAGO,IL,110005896717,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110005896717
"MARVEL GROUP INC","3843 WEST 43RD STREET",CHICAGO,IL,110001289105,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110001289105
"MARY E MCDOWELL SCHOOL","1419 E 89TH ST",CHICAGO,IL,110018258767,N,0,0,0,Y,https://echo.epa.gov/detailed-facility-report?fid=110018258767
