VIOLATION_TYPE,DISPOSITION,FINE_AMOUNT,LATITUDE,LONGITUDE
11-4-2170(f)(3) Full Description: Demolition and renovations; permit and notification requirements; performance standards for asbestos abatement; control and disposal of dust and debris.,LIABPLEA,5000,41.70167969698118,-87.62827980376798
11-4-765(2)(k) Full Description: Construction site cleanliness.,LIABPLEA,750,41.70167969698118,-87.62827980376798
11-4-740 Full Description: Open fires prohibited.,LIABPLEA,1500,41.864907807724215,-87.66648483359934
11-4-765(2)(b) Full Description: Construction site cleanliness.,LIABPLEA,750,41.864907807724215,-87.66648483359934
7-28-720 Full Description: Accumulation of materials or junk.,LIABPLEA,1500,41.92327891047086,-87.68663870201722
11-4-1585(a) Full Description: Person responsible for waste removal.,LIABPLEA,1000,42.00509631028344,-87.67386886352767
11-4-765(2)(c) Full Description: Construction site cleanliness.,LIABPLEA,750,41.864907807724215,-87.66648483359934
4-108-355(B) Full Description: Semiannual surficial cleansing.,LIABLE,750,41.8938974141881,-87.66707935455437
11-4-760(a) Full Description: Handling and storage of material susceptible to becoming windborne.,LIABPLEA,1600,41.864907807724215,-87.66648483359934
4-108-350(A)(2) Full Description: Spill or overfill containment and cleanup requirement.,LIABLE,750,41.91362432073231,-87.74552820790232
11-4-765(2)(c) Full Description: Construction site cleanliness.,NONSUIT,0,41.70167969698118,-87.62827980376798
11-4-760(a) Full Description: Handling and storage of material susceptible to becoming windborne.,LIABPLEA,1500,41.864907807724215,-87.66648483359934
11-4-765(2)(b) Full Description: Construction site cleanliness.,LIABPLEA,950,41.70167969698118,-87.62827980376798
11-4-765(2)(b) Full Description: Construction site cleanliness.,LIABPLEA,750,41.92327891047086,-87.68663870201722
11-4-2835(A),L,1000,41.892702435482,-87.62068192223532
7-28-080,N,100,41.80518651456335,-87.7037442445894
7-28-080,L,900,41.97828412859168,-87.71496980126442
11-4-770,NA,NA,41.74488133153485,-87.55018715029831
11-4-760,LIABPLEA,1000,41.80198454661969,-87.61677817319
11-4-360,NA,NA,41.81845297901831,-87.65624614125167
11-4-250,N,1500,41.866696523611786,-87.6885118190167
7-28-440 Full Description: Full Description: Dumping on real estate without permit - violation,NONSUIT,0,41.99804923754264,-87.66311436544494
11-4-760,NA,100,41.823071491190085,-87.68573597346679
11-5-023,NA,NA,41.929802209653005,-87.6841417070207
7-28-080,NA,NA,41.951859117502146,-87.68825854818121
7-28-080,L,7500,41.88548050060365,-87.70811544040045
11-4-1150,L,500,41.933372138851695,-87.67800596618002
11-4-240,L,200,41.88887845052415,-87.65354400081394
7-28-440,N,800,41.85262390067808,-87.6448878297438
4-248-080,G,5700,41.86612863836587,-87.73592225475471
7-28-720,NA,NA,41.77746116039163,-87.62511593356741
7-28-080,G,350,41.82268109764175,-87.68497838532748
7-28-440,L,1500,41.88514434622096,-87.69501867291162
11-4-765(2)(c) Full Description: Construction site cleanliness.,LIABPLEA,750,41.85844138468758,-87.62379979660467
7-28-390,NA,100,41.87519689423485,-87.73959751623482
13-32-125 (2B),NA,NA,41.72626131843451,-87.57268129081085
11-4-240,N,0,41.94641497610327,-87.64960508860683
11-4-1500,L,5000,41.88517276081626,-87.68639484813168
11/4/2140,N,0,41.93677582260036,-87.72726692329208
7-28-390,N,0,41.815071241733406,-87.74097899057384
7-28-080,L,2000,41.995309898829866,-87.68995109489313
9-80-095,L,250,41.86638850070342,-87.63907116447099
11-4-660,L,NA,41.80765849941129,-87.73175533139705
7-28-390,N,0,41.815071241733406,-87.74097899057384
7-28-080,N,2000,41.91482042670598,-87.77555966968384
9-80-095,L,250,41.86638850070342,-87.63907116447099
NA,NA,100,41.9345858051786,-87.73115673114934
11-4-1905(4A),L,300,41.881111186418565,-87.65697811095514
NA,NA,NA,41.95450141996112,-87.65033748120638
11-4-1150,L,500,41.91253960124517,-87.6826545737573
7-28-450,NA,NA,41.73761402032117,-87.71869784610043
