NAME,STREET,VIOLATIONS,INSPECTIONS,FORMAL_ACTIONS
AGASSIZ ELEMENTARY SCHOOL-CHGO BD ED,2851 N SEMINARY,0,0,0
AID ASSOCIATION FOR LUTHERANS,4740 S. WHIPPLE,0,0,0
AIR FRANCE OHARE INTL,NE OF S ACCESS RD AND OHARE,0,0,0
AIR WISCONSIN,OHARE AIRPORT BLDG 757,0,0,0
AIRCRAFT SERVICE INTERNATIONAL INC,PO BOX 66131,9,1,0
AIRCRAFT SERVICE INTERNATIONAL INC DBA MENZIES AVIATION,5150 W 55TH ST,0,0,0
AIRCRAFT SERVICE INTERNATIONAL INC DBA MENZIES AVIATION,OHARE INTERNATIONAL AIRPORT,0,0,0
AIRCRAFT SERVICE INTERNATIONAL INC. D/B/A MENZIES AVIATION,P O BOX 66131 O'HARE INTERNATNATIONAL,10,1,0
AIRGAS USA LLC,12722 S WENTWORTH AVE,0,0,1
AIRGUIDE INSTRUMENT CO,2210 W WABANSIA AVE,0,0,0
AIRPORT AUTO REBUILDERS INC,4901 W 63RD ST,0,0,0
AISHA WASH & FUEL ISLAND,5549 W DIVERSEY,0,0,0
AJ SVCS CTR,6000 W 63RD ST,0,0,0
AJ TRUCKING LLC,TANK FARM RD & GSE RD,0,0,0
AJE NORGETOWN CLEANERS,5114 S KEDZIE,0,0,0
AK AUTO SERVICE INC,4747 N PULASKI,0,0,0
AK BODY SHOP,4747 N PULASKI,0,0,0
AKERS PACKAGING SERVICE INC,1037 E 87TH ST,0,0,0
AL MEDINA AUTO REPAIR & BODYSHOP,4876 N CLARK,0,0,0
AL-AMIR BAKERY INC D/B/A SANABEL BAKERY,4253 N KEDZIE AVE,0,0,0
ALANSON MFG LLC,4408 W CERMAK RD,1,1,0
ALBANY AUTO BODY,4030 N ROCKWELL,0,0,0
ALBANY PARK ACADEMY,5039 N KIMBALL,0,0,0
ALBANY PARK APARTMENTS,3411-3415 W FOSTER AVE,0,0,0
ALBANY PARK BRANCH LIBRARY,5150 N KIMBALL AVE,0,0,0
ALDARI CITGO,10 N KILBOURN AVE,0,0,0
ALDRIDGE METAL CO,920 W 12ND ST,0,0,0
ALEXANDER FLEMING,4918 W 64TH ST,0,0,0
ALEXANDER GRAHAM BELL SCHOOL,3730 N OAKLEY AVE,0,0,0
ALEXANDER HAMILTON SCHOOL-CHGO BD ED,1650 W CORNELIA,0,0,0
ALEXANDER VON HUMBOLDT SCHOOL,2620 W HIRSCH ST,0,0,0
ALL AUTOMOTIVE REPAIR,6943 N WESTERN AVE,0,0,0
ALL MASONRY,1414 W WILLOW ST,0,0,0
ALL PRO AUTOMOTIVE,4836 FULLERTON,0,0,0
ALL PRO CLEANERS,3052 W ARMITAGE AVE,0,0,0
ALL PRODUCTS AUTOMOTIVE,4701 W COURTLAND ST,0,0,0
ALL TRUCK TRANSP CO INC,4924 AUSTIN,0,0,0
ALL TUNE & LUBE,6700 N CLARK,0,0,0
ALL-STATES INC.,1801 W. FOSTER,0,0,0
ALLIED AUTO & TRUCK BODY,1712 N KILBOURN AVE,0,0,0
ALLIED AUTO BODY,2529 N PULASKI RD,0,0,0
ALLIED METAL CO,4528 W. DIVISION ST.,0,0,0
ALPHA BAKING CO,4545 W. LYNDALE,0,1,0
ALPHA BAKING CO INC,5001 WEST POLK STREET,0,2,1
ALPHA GRAPHICS,10 S LASALLE ST B,0,0,0
ALPINE DEMOLITION SERVICES,10000 W O'HARE AVE,0,0,0
ALPINE LAKE RV RESORT-TREATMENT WL #1 (SHOWER/LAUNDRY - CL2),ATTN:  PERMITS & LICENSE AGENT,0,0,0
ALSCO-AMERICAN LINEN DIVISION,2641 S LEAVITT,0,0,0
ALTEREDSCALE,601 W POLK ST,0,0,0
ALTERMAN TRANSPORT,7101 S KOSTNER,0,0,0
ALTGELD GARDENS,977 E 132ND STREET,0,0,0
ALTGELD PARK,515 S WASHTENAW AVE,0,0,0
ALTMAN MACHINERY CO,4343 S OAKLEY,0,0,0
ALTMAN RON,6820 W 63RD ST,0,0,0
ALTOM TRANSPORT INC,4242 S KNOX AVE,12,0,0
"ALVEST EQUIPMENT SERVICES, LLC - MDW",6150 S. LARAMIE,0,0,0
AM AUTO SERVICE,6100 W 63RD ST,0,0,0
AMAZON GO GOC1,3 W CHICAGO AVE,0,0,0
AMAZON PHARMACY PIL4,1260 N KOSTNER AVE STE 100,0,0,0
AMAZON PHARMACY PIL4,1260 N KOSTNER AVE STE 100,0,0,0
AMAZON.COM SERVICES LLC DXH5,3523 S ASHLAND AVE,0,0,0
AMAZON.COM SERVICES LLC HCH2,2350 S WOOD ST,0,0,0
AMAZON.COM SVCS LLC DLN4,10500 S WOODLAWN AVE,0,0,0
AMBASSADOR TRANSPORT INC,907 S WESTERN,0,0,0
AMBER AUTOMOTIVE,4657 N RAVENSWOOD,0,0,0
AMBER AUTOMOTIVE,7525 N WOLCOTT,0,0,0
AMBROSE PLAMONDON SCHOOL,2642 W 15TH PL,0,0,0
AMCOR AMERICAN METAL CHEM CORP,3546 S MORGAN,0,0,0
AMER INC DBA CITGO SVC,6661 S STATE ST,0,0,0
AMERICAN ACADEMY OF ART,332 SOUTH MICHIGAN AVE,0,0,0
AMERICAN AIRLINES,11600 W TOUHY,0,1,0
AMERICAN AIRLINES CONCOURSE L UPGRADES,10510 W. ZEMKE ROAD,0,0,0
AMERICAN CLYBOURN FINISHING,11730 S. FRONT AVE.,0,0,0
AMERICAN COLLEGE OF SURGEONS,55 E ERIE ST,0,0,0
AMERICAN DEMOLITION,4041 W OGDEN AVE,0,0,0
AMERICAN DEMOLITION CORP,2300 W 13TH ST,0,0,0
AMERICAN DEMOLITION CORP,750 & 810 W MONTROSE,0,0,0
AMERICAN DEMOLITION CORP,1931 W WILSON,0,0,0
AMERICAN DEMOLITION CORPORATION,3815 S ASHLAND AVE,0,0,0
AMERICAN DESIGNS,4147 W OGDEN AVE/SITE B,0,0,0
AMERICAN EAGLE AIRLINES,OHARE INTERNATIONAL AIRP,0,0,0
AMERICAN FAMILY PRIDE CLEANERS,4680 N ELSTON,0,0,0
AMERICAN FREEHOLDS GROSVENOR,830 N MICHIGAN AVE,0,0,0
AMERICAN GAS & FOOD INC PULASKI CITGO,4359 N PULASKI,0,0,0
AMERICAN IDEAL 1 CLEANERS,10341 S MICHIGAN AVE,0,0,0
AMERICAN ISLAMIC CENTER,630 W IRVING PARK RD,9,0,0
AMERICAN LABELMARK CO,5724 N. PULASKI ROAD,0,0,0
AMERICAN LIBRARY ASSOCIATION,50 E HURON ST,0,0,0
AMERICAN NAMEPLATE CO,4501 S KILDARE AVE,1,1,0
AMERICAN NICKEL WORKS,1223 W. LAKE ST.,0,0,2
AMERICAN PLATING & MFG CO,3941 S KEELER AVE,0,0,0
AMERICAN PRESIDENT LINES,2302 S PAULINA,0,0,0
AMERICAN RACK CO,5810 NORTHWEST HIGHWAY,0,0,0
AMERICAN SOCIETY OF CLINICAL PATHOLOGISTS,2100 W HARRISON,0,0,0
AMERICAN STEAMSHIP CO,100TH & CALUMET RIVER,0,0,0
AMERICAN SUGAR REFINING INC,2400 E 130TH ST,0,0,0
AMERICAN SUGAR REFINING INC,2905 S WESTERN AVE,0,0,0
AMERICAN SWEETENER CORP,2400 E 130TH ST,0,0,0
AMERICAN ZINC RECYCLING,2701 E 114TH ST,2,4,2
AMERIKA WOCHE,4732 N LINCOLN,0,0,0
AMERITECH,613 N UNION AVE,0,0,0
"AMEROPAN OIL CORPORATION, INC",3301 SOUTH CALIFORNIA AVENUE,0,0,1
"AMITY PACKING COMPANY, INC.",4220 SOUTH KILDARE,0,1,0
AMM MARATHON INC,8158 S HALSTED ST,0,0,0
AMOCO,5547 N KEDZIE,0,0,0
AMOCO,6301 S KOSTNER,0,0,0
AMOCO,3900 S MICHIGAN,0,0,0
AMOCO,7603 S CHICAGO,0,0,0
AMOCO,3601 N SOUTHPORT,0,0,0
AMOCO,2357 W FULLERTON,0,0,0
AMOCO,4259 S CICERO AVE,0,0,0
AMOCO - JABS CORP,414 S KOSTNER & CONGRESS,0,0,0
AMOCO 1543,3803 W ROOSEVELT RD,0,0,0
AMOCO 15502,11163 S VINCENNES,0,0,0
AMOCO 18715,1158 E 47TH ST,0,0,0
AMOCO 18726,7550 N SHERIDAN RD,0,0,0
AMOCO 18748,50 W CONGRESS,0,0,0
AMOCO 18900,2800 FULLERTON,0,0,0
AMOCO 2607,659 N DEARBORN,0,0,0
AMOCO 5014,3201 W ADDISON,0,0,0
AMOCO 5018,1355 W DIVERSEY & SOUTH,0,0,0
AMOCO 5025,4400 W. NORTH GRAND,NA,1,0
AMOCO 5085,4400 N WESTERN,0,0,0
AMOCO 5221,2801 S PULASKI,0,0,0
AMOCO 5937,8648 S JEFFREY,0,0,0
AMOCO 8634 DBA BP,5610 W DIVERSEY & CENT,0,0,0
AMOCO FOOD SHOP,3968 W BELMONT AVE,0,0,0
AMOCO FOOD SHOP,3955 N WESTERN AVE,0,0,0
AMOCO OIL CO,6350 MONTROSE,0,0,0
AMOCO OIL CO ACA NO 2074,530 N LASALLE ST,0,0,0
AMOCO OIL CO ACA NO 2637,631 N LASALLE,0,0,0
"AMOCO OIL CO, ACA MGMT SVC",7559 S STATE ST,0,0,0
AMOCO STATION 5009,7100 S HALSTED,0,0,0
AMOCO TONYS 18673,1725 S CLARK ST,0,0,0
AMOS STAGG,7424 S MORGAN ST,0,0,0
AMRO AUTO,3910 S WESTERN AVE,0,0,0
AMSTAR,5035 W DIVISION,0,0,0
AMTRAX,1680 LUMBER ST,0,0,0
"AMUNDSEN, RONALD H/S",5110 N DAMEN AVE,0,0,0
AN PRITZKER SCHOOL,2009 W SCHILLER ST,0,0,0
ANA ROQUE DE DUPREY ES,1405 N WASHTENAW AVE,0,0,0
ANB BUILDING,55 E 89TH PLACE,0,0,0
ANDERSEN ELEMENTARY SCHOOL,1148 N HONORE ST,0,0,0
ANDERSON,1132 S. JEFFERSON ST.,0,0,0
ANDERSON ACADEMY,6315 S CLAREMONT AVE,0,0,0
ANDERSON-SHUMAKER CO,824 S. CENTRAL AVE.,0,0,0
ANDRES FOTOLAB,160 E ILLINOIS ST-B,0,0,0
ANDREW CARNEGIE ELEMENTARY,1414 E 61ST PL,0,0,0
ANDREWS CLEANERS,548 W DIVERSEY,0,0,0
ANDREWS DECAL CO,6559 N AVONDALE,0,0,0
ANDYS AUTO RPR,743 N AVERS,0,0,0
ANDYS COLLISION CENTER DBA AS REALIABLE AUTO REPAIR INC,4169 N ELSTON AVE,0,0,0
ANGEL CLEANERS INC,8610 S KEDZIE,0,0,0
ANGEL OIL CO,130 E 71ST ST,0,0,0
ANGEL TEXACO-18919 HWY 105,117 N JEFFERSON ST STE 303,9,0,0
