LocationName,Measure,Data_Value,Geolocation
17031070103,Current Asthma,9.4,POINT (-87.6426051 41.926811)
17031040201,Current Asthma,9.1,POINT (-87.6940005 41.9725804)
17031010202,Current Asthma,10.2,POINT (-87.6733256 42.0160476)
17031170800,COPD,6.2,POINT (-87.8123713 41.9415761)
17031110300,Current Asthma,9.1,POINT (-87.7832349 41.9752907)
17031040300,Current Asthma,9.1,POINT (-87.7019832 41.9769437)
17031140302,COPD,5.3,POINT (-87.7237561 41.9724938)
17031100200,COPD,5.2,POINT (-87.7942589 41.9957734)
17031070600,COPD,2.3,POINT (-87.6656766 41.9287627)
17031140701,COPD,4.1,POINT (-87.7126524 41.9670375)
17031151002,COPD,5.1,POINT (-87.7471554 41.9424917)
17031071700,Current Asthma,9.1,POINT (-87.6410717 41.9128666)
17031120300,Current Asthma,8.8,POINT (-87.740066 41.9911122)
17031010501,Current Asthma,9.9,POINT (-87.6639583 42.0094119)
17031030800,Current Asthma,8.9,POINT (-87.664188 41.9799123)
17031051000,Current Asthma,8.8,POINT (-87.6857317 41.9413024)
17031020802,Current Asthma,9.1,POINT (-87.6946306 41.9940592)
17031070101,Current Asthma,9.2,POINT (-87.6323247 41.9295225)
17031062000,COPD,1.9,POINT (-87.6470786 41.9425769)
17031151001,Current Asthma,9.1,POINT (-87.7543527 41.9423826)
17031081800,Current Asthma,8.9,POINT (-87.6391895 41.8933243)
17031130200,COPD,5.7,POINT (-87.7375733 41.9818378)
17031031502,Current Asthma,10.9,POINT (-87.6523656 41.9636326)
17031010503,Current Asthma,10.9,POINT (-87.6631262 42.0003207)
17031110502,Current Asthma,9.1,POINT (-87.7598523 41.9702865)
17031031000,Current Asthma,8.9,POINT (-87.6711094 41.972437)
17031071600,COPD,3.2,POINT (-87.6411823 41.9164722)
17031062400,Current Asthma,9.2,POINT (-87.6662882 41.9415556)
17031031200,Current Asthma,10.5,POINT (-87.657341 41.9727092)
17031031400,Current Asthma,8.9,POINT (-87.6424095 41.9584475)
17031120400,COPD,5,POINT (-87.7521624 41.9772354)
17031010201,COPD,7.3,POINT (-87.6801484 42.0160077)
17031020602,Current Asthma,8.6,POINT (-87.6936373 42.0013156)
17031061800,COPD,2.5,POINT (-87.6471147 41.9464901)
17031071800,Current Asthma,9.3,POINT (-87.645966 41.9145855)
17031080202,Current Asthma,9.2,POINT (-87.630901 41.9058589)
17031161000,Current Asthma,9,POINT (-87.7306829 41.9499766)
17031170200,Current Asthma,9,POINT (-87.7815188 41.9493528)
17031061500,Current Asthma,9.1,POINT (-87.6615447 41.9452818)
17031170300,COPD,5.1,POINT (-87.7968278 41.9491248)
17031060500,COPD,6.7,POINT (-87.6605008 41.95272)
17031061800,Current Asthma,9.1,POINT (-87.6471147 41.9464901)
17031071400,COPD,3.5,POINT (-87.6295259 41.9227255)
17031160601,COPD,3.2,POINT (-87.7032936 41.959398)
17031062600,Current Asthma,8.9,POINT (-87.6709843 41.9359751)
17031110200,Current Asthma,9.7,POINT (-87.7734442 41.9800699)
17031010502,COPD,3.5,POINT (-87.6633273 42.0045173)
17031010100,COPD,6.4,POINT (-87.6698301 42.0212553)
17031170600,COPD,6.8,POINT (-87.8307016 41.9412943)
17031063100,COPD,1.9,POINT (-87.6467799 41.9382319)
17031031800,Current Asthma,9.2,POINT (-87.6706209 41.9670114)
17031071100,Current Asthma,9.8,POINT (-87.6510614 41.9217778)
17031050500,COPD,2.6,POINT (-87.6835073 41.9504474)
17031071400,Current Asthma,9.5,POINT (-87.6295259 41.9227255)
17031150600,Current Asthma,9.2,POINT (-87.7717578 41.9494731)
17031040700,Current Asthma,9.1,POINT (-87.6940682 41.9674314)
17031040202,Current Asthma,9.5,POINT (-87.694096 41.9798549)
17031031400,COPD,3.4,POINT (-87.6424095 41.9584475)
17031051200,COPD,2.2,POINT (-87.6759536 41.9414224)
17031020400,COPD,5.6,POINT (-87.6859118 42.008488)
17031070700,Current Asthma,8.9,POINT (-87.6741038 41.9306521)
17031100300,COPD,7.2,POINT (-87.8042597 41.988733)
17031063302,Current Asthma,9.1,POINT (-87.639854 41.9347647)
17031170600,Current Asthma,9.7,POINT (-87.8307016 41.9412943)
17031081100,COPD,3.4,POINT (-87.6291049 41.9002211)
17031040300,COPD,6.3,POINT (-87.7019832 41.9769437)
17031063303,Current Asthma,8.3,POINT (-87.6346613 41.9347312)
17031020701,Current Asthma,8.5,POINT (-87.7036897 41.9868915)
17031081202,COPD,3.8,POINT (-87.6242374 41.9043769)
17031020400,Current Asthma,9.6,POINT (-87.6859118 42.008488)
17031160502,COPD,4.8,POINT (-87.7130876 41.9555841)
17031100300,Current Asthma,9.5,POINT (-87.8042597 41.988733)
17031081600,COPD,1.9,POINT (-87.6288708 41.8920572)
17031140302,Current Asthma,8.9,POINT (-87.7237561 41.9724938)
17031140301,Current Asthma,9.4,POINT (-87.7231695 41.9692055)
17031031100,COPD,3.3,POINT (-87.6638662 41.9726684)
17031150700,COPD,4.1,POINT (-87.761958 41.9495915)
17031020200,Current Asthma,9,POINT (-87.6995191 42.0156903)
17031050100,COPD,2.9,POINT (-87.676373 41.9578451)
17031110400,COPD,4.6,POINT (-87.7726114 41.9729536)
17031062700,Current Asthma,8.9,POINT (-87.6661103 41.9360862)
17031170500,Current Asthma,9.6,POINT (-87.8288957 41.9500779)
17031061902,COPD,3.2,POINT (-87.6390645 41.9466985)
17031020100,Current Asthma,10.4,POINT (-87.6871169 42.015721)
17031080100,Current Asthma,9,POINT (-87.62679 41.9075487)
17031081201,Current Asthma,8.8,POINT (-87.626212 41.8991538)
17031031900,Current Asthma,9.2,POINT (-87.6701841 41.963374)
17031032100,COPD,3.9,POINT (-87.6530179 41.9581538)
17031062300,Current Asthma,9,POINT (-87.6614432 41.9416278)
17031031300,COPD,6.4,POINT (-87.6465298 41.9737646)
17031170700,COPD,6.9,POINT (-87.822164 41.9414866)
17031062100,COPD,1.9,POINT (-87.6517704 41.9426914)
17031140800,Current Asthma,9,POINT (-87.7028469 41.9645144)
17031020602,COPD,4.5,POINT (-87.6936373 42.0013156)
17031070600,Current Asthma,8.7,POINT (-87.6656766 41.9287627)
17031081500,Current Asthma,8.7,POINT (-87.6260787 41.8929064)
17031010501,COPD,3.9,POINT (-87.6639583 42.0094119)
17031050500,Current Asthma,9,POINT (-87.6835073 41.9504474)
17031030604,Current Asthma,8.9,POINT (-87.6524546 41.9858707)
17031030102,COPD,6.1,POINT (-87.6550225 41.9930264)
17031161300,COPD,5,POINT (-87.7310023 41.9426994)
17031063303,COPD,5.1,POINT (-87.6346613 41.9347312)
17031150402,COPD,5.8,POINT (-87.7720436 41.9567979)
17031020701,COPD,4.6,POINT (-87.7036897 41.9868915)
17031100400,COPD,5.1,POINT (-87.8180411 41.9889687)
17031150401,Current Asthma,9.6,POINT (-87.7722648 41.9645676)
17031051400,COPD,2.5,POINT (-87.6809594 41.935442)
17031040600,Current Asthma,9.4,POINT (-87.684018 41.9668338)
17031100100,Current Asthma,9.4,POINT (-87.7830136 41.989584)
17031150200,COPD,5.2,POINT (-87.7524131 41.9606747)
17031150300,COPD,4.9,POINT (-87.7622859 41.9605179)
17031170800,Current Asthma,9.7,POINT (-87.8123713 41.9415761)
17031110300,COPD,4.9,POINT (-87.7832349 41.9752907)
17031061100,Current Asthma,9,POINT (-87.6568035 41.9491398)
17031062000,Current Asthma,8.9,POINT (-87.6470786 41.9425769)
17031140400,COPD,4.8,POINT (-87.7389429 41.9715371)
17031030101,Current Asthma,9.7,POINT (-87.654879 41.9910538)
17031071100,COPD,2.2,POINT (-87.6510614 41.9217778)
17031020302,Current Asthma,9.6,POINT (-87.6949634 42.0085406)
17031160400,Current Asthma,9.5,POINT (-87.7228238 41.9573657)
17031140702,COPD,4.3,POINT (-87.7135753 41.9635482)
17031060400,Current Asthma,9,POINT (-87.6665364 41.9506731)
17031020802,COPD,6.2,POINT (-87.6946306 41.9940592)
17031031000,COPD,2.8,POINT (-87.6711094 41.972437)
17031030701,COPD,5,POINT (-87.6579659 41.9827453)
17031160200,Current Asthma,9.1,POINT (-87.7383981 41.9587931)
17031020901,COPD,6.6,POINT (-87.6854736 41.9943922)
17031090300,Current Asthma,9.4,POINT (-87.8163644 41.9991127)
17031151200,Current Asthma,9,POINT (-87.7714953 41.942169)
17031100700,Current Asthma,9.4,POINT (-87.7976295 41.9721235)
17031030300,Current Asthma,9.2,POINT (-87.6725348 41.9943875)
17031010300,Current Asthma,10.2,POINT (-87.6665393 42.0159431)
17031050200,Current Asthma,9,POINT (-87.6837168 41.9577405)
17031040201,COPD,3.3,POINT (-87.6940005 41.9725804)
17031030103,COPD,5.2,POINT (-87.6551527 41.9955241)
17031030400,Current Asthma,9.1,POINT (-87.6720788 41.9869515)
17031062500,COPD,2.8,POINT (-87.6711073 41.941488)
17031161000,COPD,3.5,POINT (-87.7306829 41.9499766)
17031140601,COPD,5.3,POINT (-87.7258909 41.9646471)
17031070300,COPD,1.8,POINT (-87.6513103 41.9290462)
17031030601,COPD,5.8,POINT (-87.6546087 41.9889716)
17031062700,COPD,2.2,POINT (-87.6661103 41.9360862)
17031120100,Current Asthma,9.2,POINT (-87.7750065 42.0019817)
17031030500,COPD,3,POINT (-87.6649359 41.987226)
17031063301,COPD,3.3,POINT (-87.6430239 41.9345407)
17031010503,COPD,8.5,POINT (-87.6631262 42.0003207)
17031140301,COPD,6.9,POINT (-87.7231695 41.9692055)
17031170400,COPD,5.6,POINT (-87.8127107 41.9489081)
17031030103,Current Asthma,10.5,POINT (-87.6551527 41.9955241)
17031160800,COPD,6.1,POINT (-87.7128146 41.9502131)
17031081900,Current Asthma,9.4,POINT (-87.641487 41.89799)
17031040700,COPD,2.8,POINT (-87.6940682 41.9674314)
17031040402,COPD,2.4,POINT (-87.6788181 41.972545)
17031031800,COPD,3.1,POINT (-87.6706209 41.9670114)
17031081600,Current Asthma,8.4,POINT (-87.6288708 41.8920572)
17031140400,Current Asthma,8.7,POINT (-87.7389429 41.9715371)
17031061100,COPD,1.6,POINT (-87.6568035 41.9491398)
17031030900,Current Asthma,9,POINT (-87.6714454 41.9797951)
17031090200,COPD,4.5,POINT (-87.8130961 42.005594)
17031071500,COPD,2.2,POINT (-87.6250923 41.9142415)
17031150501,Current Asthma,8.8,POINT (-87.7819639 41.9644762)
17031062500,Current Asthma,9.2,POINT (-87.6711073 41.941488)
17031040402,Current Asthma,9.3,POINT (-87.6788181 41.972545)
17031420200,COPD,7.8,POINT (-87.5935208 41.783468)
17031220400,COPD,2.9,POINT (-87.6999684 41.9284314)
17031242500,COPD,3.4,POINT (-87.6893191 41.8994455)
17031710400,Current Asthma,13.1,POINT (-87.6709328 41.7539184)
17031040600,COPD,3,POINT (-87.684018 41.9668338)
17031071200,Current Asthma,9.4,POINT (-87.6462106 41.9218547)
17031030706,Current Asthma,9,POINT (-87.6509155 41.9804151)
17031070500,COPD,2.7,POINT (-87.6608922 41.9289455)
17031030102,Current Asthma,9.9,POINT (-87.6550225 41.9930264)
17031150401,COPD,5.9,POINT (-87.7722648 41.9645676)
17031170300,Current Asthma,9.2,POINT (-87.7968278 41.9491248)
17031241400,Current Asthma,9,POINT (-87.6753137 41.9060312)
