COMPLAINT_TYPE,RESOLUTION,LATITUDE,LONGITUDE
Construction and Demolition,Alleged violation founded,41.92718475104,-87.70455855621
Noise Complaint,Complaint Valid,41.98979314858,-87.65695310431
Noise Complaint,Alleged violation not found,41.91577996416,-87.68603282084
Noise Complaint,Alleged violation not found,41.90864059037,-87.6730112239
Air Pollution Work Order,Complaint Valid,41.76184806356,-87.74167064735
Air Pollution Work Order,Alleged violation not found,41.90576166555,-87.77199490453
Noise Complaint,Alleged violation not found,41.98407576951,-87.70999154829
Air Pollution Work Order,Alleged violation not found,41.82487574264,-87.67131259092
Air Pollution Work Order,Resolved,41.77998886131,-87.6812875381
Air Pollution Work Order,Resolved,41.93210642833,-87.64369623573
Noise Complaint,Refer to Building Dept,41.87744643204,-87.62621567317
Noise Complaint,Resolved,41.87596365557,-87.73389995672
Noise Complaint,Alleged violation not found,41.8338534438,-87.65089324896
Construction and Demolition,Alleged violation not found,41.77713588778,-87.69648377218
Construction and Demolition,Resolved,41.97292662476,-87.68769402077
Air Pollution Work Order,Resolved,41.8755691096,-87.62938322587
Noise Complaint,Resolved,41.78457290546,-87.59452923377
Asbestos Work Order,Refer to Building Dept,41.80277362559,-87.60360303244
Air Pollution Work Order,NA,41.90954355432,-87.78320768751
Noise Complaint,Alleged violation not found,41.93907999018,-87.69765351023
Noise Complaint,Alleged violation not found,41.77757142634,-87.69228011877
Air Pollution Work Order,Complaint Valid,41.90933982646,-87.68582817741
Air Pollution Work Order,NA,41.9058228109,-87.66741343163
Noise Complaint,Resolved,41.89416115508,-87.61620201268
Noise Complaint,Resolved,41.95561823828,-87.64561969148
Illegal Dumping Work Order,Alleged violation founded,41.80119463572,-87.64303230169
Air Pollution Work Order,Resolved,41.88167803044,-87.64672118702
Noise Complaint,Resolved,41.89416115508,-87.61620201268
Water Pollution,Refer to other Depts,41.87862073123,-87.70128794522
Air Pollution Work Order,Complaint Invalid,41.78665417827,-87.66453915774
Illegal Dumping Work Order,Resolved,41.75940208949,-87.56774397673
Air Pollution Work Order,Alleged violation unfounded,41.74971847914,-87.59530280122
Illegal Dumping Work Order,Refer to StreetsSanitation,41.65904407952,-87.6107930964
Air Pollution Work Order,Resolved,41.87127365306,-87.68255618902
Noise Complaint,NA,41.88946532877,-87.62650927363
Noise Complaint,Resolved,41.94004143363,-87.6526836729
Noise Complaint,Alleged violation not found,41.97187191151,-87.71925803656
Construction and Demolition,Alleged violation founded,41.88101972012,-87.68978364176
Air Pollution Work Order,Alleged violation not found,41.86403563981,-87.61929706919
Construction and Demolition,Resolved,41.72186061386,-87.66041019685
Air Pollution Work Order,Resolved,41.87100203783,-87.68263372797
Noise Complaint,Resolved,41.9935835345,-87.66023048586
Air Pollution Work Order,Resolved,41.87127365306,-87.68255618902
Construction and Demolition,Resolved,41.9115340013,-87.76048000003
Noise Complaint,Resolved,41.91614249397,-87.70405614818
Air Pollution Work Order,Resolved,41.97472755169,-87.65481937663
Air Pollution Work Order,Complaint Valid,41.8900188354,-87.70189052312
Noise Complaint,Resolved,41.9935835345,-87.66023048586
Construction and Demolition,Resolved,41.91676177435,-87.64982656423
Noise Complaint,Resolved,41.9935835345,-87.66023048586
Noise Complaint,Alleged violation not found,41.96873073357,-87.67267203276
Construction and Demolition,Resolved,41.90424647185,-87.69676536711
Noise Complaint,Resolved,41.94004143363,-87.6526836729
Air Pollution Work Order,Alleged violation unfounded,41.74734587829,-87.60158194712
Construction and Demolition,Alleged violation unfounded,41.85939548521,-87.62549889719
Noise Complaint,Alleged violation not found,41.98979314858,-87.65695310431
Construction and Demolition,Resolved,41.92714517418,-87.66202466992
Construction and Demolition,Resolved,41.89661997489,-87.69563961911
Air Pollution Work Order,Alleged violation not found,41.94095952843,-87.8103338553
Construction and Demolition,Resolved,41.91198094797,-87.76078959899
Construction and Demolition,Resolved,41.9313142095,-87.64638870997
Service Stations/Storage Tanks Work Order,Resolved,41.96604496152,-87.68410301218
Noise Complaint,Complaint Valid,41.87341637357,-87.62977671782
Air Pollution Work Order,Complaint Valid,41.82297276573,-87.67702220738
Air Pollution Work Order,Alleged violation not found,41.92782810508,-87.69735433823
Construction and Demolition,Resolved,41.91780007936,-87.77557364424
Water Pollution,Resolved,41.94164742622,-87.65430682102
Service Stations/Storage Tanks Work Order,Resolved,41.97493979856,-87.751014129
Air Pollution Work Order,Alleged violation not found,41.93312281011,-87.77953228135
